ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"185.66.59.220","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","26","Svint","42647","socks4","4441","1","2022-09-29T15:28:47.529Z","100","65","65"
"105.213.117.42","elite","AS16637","ZA","MTN SA","187","MTN SA","5678","socks4","4848","1","2022-09-29T15:28:47.531Z","90","54","60"
"49.12.225.143","elite","AS24940","DE","Hetzner Online GmbH","13","Hetzner","10004","socks4","3889","1","2022-09-29T15:28:47.530Z","100","45","45"
"91.226.35.37","elite","AS56622","UA","DVS-Sat LLC","35","DVS-Sat LLC","5678","socks5","5121","1","2022-09-29T15:28:43.782Z","99","106","107"
"75.119.203.142","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","15745","socks5","4504","1","2022-09-29T15:28:43.783Z","100","80","80"
"45.7.177.246","elite","AS266626","BR","Litoral Telecom","208","Litoral Telecom","39867","socks4","4501","1","2022-09-29T15:28:40.060Z","96","46","48"
"103.47.93.242","elite","AS134058","IN","Broban Internet Services Pvt.ltd","151","Broban  PVT Ltd.","1080","socks4","4930","1","2022-09-29T15:28:40.064Z","97","74","76"
"24.7.10.171","elite","AS7922","US","Comcast Cable Communications, LLC","157","Comcast Cable Communications","2758","socks4","4808","1","2022-09-29T15:28:36.436Z","100","60","60"
"54.36.244.148","elite","AS16276","FR","OVH SAS","7","OVH","57216","socks4","4913","1","2022-09-29T15:28:32.742Z","100","103","103"
"184.168.146.10","elite","AS26496","US","GoDaddy.com, LLC","133","GoDaddy.com, LLC","64426","socks4","4925","1","2022-09-29T15:28:32.726Z","100","81","81"
"162.0.220.219","elite","AS22612","US","Namecheap, Inc.","145","Namecheap, Inc.","11395","socks5","4795","1","2022-09-29T15:28:29.043Z","100","90","90"
"94.23.41.93","anonymous","AS16276","FR","OVH ISP","5","OVH","3128","http","5071","4026","2022-09-29T15:28:29.054Z","100","47","47"
"172.81.40.235","elite","AS35913","US","DediPath","119","DediPath","50917","socks4","4495","1","2022-09-29T15:28:29.052Z","100","47","47"
"43.132.158.215","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","239","Tencent Cloud Computing","1080","socks5","4621","1","2022-09-29T15:28:29.050Z","100","107","107"
"183.89.40.224","elite","AS45629","TH","Triple T Broadband Public Company Limited","152","Triple T Broadband Public Company Limited","1080","socks4","4750","1","2022-09-29T15:28:25.309Z","100","107","107"
"182.84.149.121","elite","AS4134","CN","Chinanet","317","Chinanet JX","44844","socks4","4465","1","2022-09-29T15:28:25.310Z","51","43","85"
"103.210.30.59","elite","AS134922","IN","R G TECHNOSOLUTIONS PVT LTD","168","R G Technosolutions PVT LTD","7497","socks5","4306","1","2022-09-29T15:28:25.310Z","96","93","97"
"45.70.6.248","elite","AS267557","BR","OLITECH INFORMÁTICA E COMUNICAÇÃO LTDA","314","OLITECH INFORMÁTICA E COMUNICAÇÃO LTDA","8080","socks4","5039","1","2022-09-29T15:28:21.615Z","96","47","49"
"93.171.224.51","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","55","PE TV and Radio Company Kentavr-TV","4153","socks4","5038","2","2022-09-29T15:28:21.617Z","100","81","81"
"178.254.168.12","elite","AS34984","TR","Turkcell Internet","51","Turkcell Iletisim Hizmetleri","4782","socks4","4957","1","2022-09-29T15:28:21.615Z","98","105","107"
"113.99.188.254","elite","AS4134","CN","Chinanet","288","Chinanet GD","4153","socks4","3461","1","2022-09-29T15:28:17.663Z","90","82","91"
"67.73.168.234","anonymous","AS3549","PE","Level 3 Communications, Inc.","167","Level 3 Communications, Inc.","999","http","4651","449","2022-09-29T15:28:13.899Z","100","107","107"
"65.108.86.52","anonymous","AS24940","FI","Hetzner Online GmbH","35","Hetzner Online GmbH","3128","https","5080","301","2022-09-29T15:28:13.898Z","100","107","107"
"203.28.8.0","elite","AS209242","CY","Cloudflare London, LLC","2","Lachtaristo Holdings Limited","80","socks4","4722","1","2022-09-29T15:28:10.125Z","100","107","107"
"61.7.184.216","elite","AS131090","TH","CAT-BB","166","N/A","4153","socks4","4991","1","2022-09-29T15:28:10.130Z","90","91","101"
"190.114.253.210","elite","AS52368","CL","ZAM LTDA.","220","ZAM LTDA.","3389","socks4","5071","1","2022-09-29T15:28:10.128Z","100","72","72"
"91.148.233.54","elite","AS50525","DE","Privado Networks AG","10","Privado Networks Frankfurt","8081","socks4","5084","1","2022-09-29T15:28:06.545Z","100","92","92"
"177.38.5.51","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","216","FÁBIO MENDES DIAS LTDA ME","4153","socks4","5064","1","2022-09-29T15:28:06.561Z","90","79","88"
"75.169.63.196","elite","AS209","US","CenturyLink Communications, LLC","156","CenturyLink Communications, LLC","4145","socks4","5101","1","2022-09-29T15:28:06.549Z","69","61","88"
"178.236.118.115","elite","AS51151","ES","Comunicaciones Enersol, S.L.","44","COMENERSOL","5678","socks4","5055","1","2022-09-29T15:28:06.562Z","99","86","87"
"185.82.99.202","anonymous","AS42183","LB","NET 360 S.A.R.L","65","N/A","9093","http","2625","7509","2022-09-29T15:28:06.548Z","99","106","107"
"110.78.149.89","elite","AS131090","TH","CAT-BB","185","N/A","4145","socks4","4907","1","2022-09-29T15:28:06.548Z","64","61","95"
"23.227.38.198","elite","AS13335","CA","Cloudflare, Inc.","1","Shopify, Inc.","80","socks4","4932","1","2022-09-29T15:28:02.473Z","99","106","107"
"176.57.75.111","elite","AS199634","RU","LLC GlobalTelecomStroy","59","GTS","5678","socks4","4969","1","2022-09-29T15:28:02.473Z","99","106","107"
"76.1.160.178","elite","AS209","US","CenturyLink Communications, LLC","118","CenturyLink Communications, LLC","43384","socks4","4969","1","2022-09-29T15:27:58.710Z","100","68","68"
"172.67.231.3","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","4957","1","2022-09-29T15:27:58.707Z","100","96","96"
"148.251.195.120","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","30222","socks4","5123","1","2022-09-29T15:27:51.206Z","100","67","67"
"222.186.50.204","elite","AS4134","CN","Chinanet","265","Chinanet JS","1080","socks5","4604","1","2022-09-29T15:27:51.207Z","97","64","66"
"141.98.80.28","elite","AS43350","NL","NForce Entertainment B.V.","15","Cloud CDN","10993","socks4","5072","1","2022-09-29T15:27:51.207Z","99","87","88"
"27.131.179.216","anonymous","AS24187","TH","KIRZ Company Limited","194","KIRZ Company Limited","10443","http","4648","175","2022-09-29T15:27:51.209Z","91","79","87"
"185.54.238.208","elite","AS60245","RU","Sannikov Kirill Vladimirovich","75","23net","4153","socks4","4878","1","2022-09-29T15:27:51.206Z","91","68","75"
"184.174.72.235","elite","AS21769","GB","Colocation America Corporation","149","North Coast Hosting","51724","socks4","4994","1","2022-09-29T15:27:47.616Z","100","89","89"
"186.93.96.70","elite","AS8048","VE","CANTV Servicios, Venezuela","211","CANTV Servicios, Venezuela","9064","socks4","4175","1","2022-09-29T15:27:47.618Z","68","19","28"
"162.0.220.161","elite","AS22612","US","Namecheap, Inc.","137","Namecheap, Inc.","48415","socks5","2476","1","2022-09-29T15:27:43.868Z","100","26","26"
"45.79.230.234","elite","AS63949","US","Linode, LLC","144","Linode","443","socks4","4942","1","2022-09-29T15:27:43.872Z","100","107","107"
"114.246.180.148","elite","AS4808","CN","China Unicom Beijing Province Network","274","N/A","1080","socks5","4896","1","2022-09-29T15:27:43.873Z","92","69","75"
"51.210.21.189","elite","AS16276","FR","OVH SAS","5","EL Zayat Hadi","1080","socks5","4914","1","2022-09-29T15:27:43.887Z","100","107","107"
"185.14.149.225","elite","AS61233","PL","Terra Telekom SP. z o.o.","53","TERRA","4145","socks4","4942","1","2022-09-29T15:27:40.163Z","100","92","92"
"174.108.154.1","elite","AS11426","US","Spectrum","106","Fastlink Communications","32940","socks4","4752","1","2022-09-29T15:27:36.353Z","99","106","107"
"103.12.246.21","elite","AS134941","IN","Instant Cable Network PVT LTD","180","Instant Cable Network PVT LTD","4145","socks4","4920","1","2022-09-29T15:27:36.354Z","100","71","71"
"155.138.238.14","elite","AS20473","US","The Constant Company","98","Vultr Holdings, LLC","808","socks5","3128","1","2022-09-29T15:27:32.640Z","100","91","91"
"45.14.174.148","elite","AS209242","DE","CloudKleyer","1","N/A","80","socks4","5075","1","2022-09-29T15:27:25.240Z","100","107","107"
"151.80.123.31","elite","AS16276","FR","OVH SAS","5","BIN ABDULLAH Mahmoud Ridhwan","1080","socks4","5061","1","2022-09-29T15:27:25.269Z","100","107","107"
"183.89.40.190","elite","AS45629","TH","Triple T Broadband Public Company Limited","151","Triple T Broadband Public Company Limited","1080","socks4","5111","1","2022-09-29T15:27:25.239Z","94","95","101"
"46.126.70.47","elite","AS6830","CH","UPC Schweiz GmbH","52","UPC Schweiz GmbH","9050","socks5","3791","1","2022-09-29T15:27:25.238Z","100","76","76"
"197.234.13.61","elite","AS36902","SC","Intelvision","179","Intelvision Ltd","4145","socks4","784","1","2022-09-29T15:27:17.409Z","100","6","6"
"60.12.57.140","elite","AS4837","CN","CNC Group CHINA169 Zhejiang Province Network","207","N/A","7302","socks5","4839","1","2022-09-29T15:27:17.407Z","98","88","90"
"92.222.237.95","elite","AS16276","FR","OVH SAS","5","LCC LCC","8898","socks4","4992","1","2022-09-29T15:27:17.407Z","100","71","71"
"36.91.208.194","elite","AS7713","ID","PT. Telekomunikasi Indonesia","169","Telekomunikasi Indonesia","5678","socks4","4155","1","2022-09-29T15:27:13.125Z","92","78","85"
"198.89.91.198","elite","AS21299","KZ","Kar-Tel LLC","104","Kar-Tel LLC","5678","socks4","4387","1","2022-09-29T15:27:13.125Z","99","107","108"
"223.25.98.84","elite","AS9341","ID","PT Indonesia Comnets Plus","205","Sinerginet","5678","socks4","4975","1","2022-09-29T15:27:05.473Z","62","55","89"
"197.234.13.55","elite","AS36902","SC","Intelvision","182","Intelvision Ltd","4145","socks4","3174","1","2022-09-29T15:27:01.419Z","100","80","80"
"203.6.226.172","elite","AS58519","CN","Cloud Computing Corporation","251","Chinanet GD","8888","socks4","4119","1","2022-09-29T15:26:57.815Z","97","84","87"
"118.99.103.114","elite","AS17451","ID","Biznet Metronet","191","N/A","32491","socks4","3023","1","2022-09-29T15:26:49.891Z","97","90","93"
"103.20.148.69","elite","AS131367","VN","Viet Online trading service corporation","194","VONLINE","3659","socks4","4461","1","2022-09-29T15:26:49.891Z","99","82","83"
"62.31.237.202","elite","AS5089","GB","Virgin Media Business","36","Optify Mediaforce Limited","1080","socks4","4929","1","2022-09-29T15:26:42.430Z","99","106","107"
"185.49.87.116","elite","AS43754","IR","Asiatech Data Transmission company","94","Asiatech Data Transmission company","3128","socks5","1250","1","2022-09-29T15:26:42.432Z","100","13","13"
"128.199.59.76","elite","AS14061","NL","DigitalOcean, LLC","14","Digital Ocean","31918","socks4","4726","1","2022-09-29T15:26:42.455Z","100","108","108"
"177.105.68.248","elite","AS262637","BR","Netprimus Tecnologia Ltda","223","Netprimus Tecnologia Ltda","4153","socks4","5011","1","2022-09-29T15:26:42.436Z","100","73","73"
"75.119.202.168","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","32524","socks4","4118","1","2022-09-29T15:26:38.839Z","100","87","87"
"1.179.242.33","elite","AS23969","TH","TOT Public Company Limited","158","TOT Public Company Limited","4145","socks4","4833","1","2022-09-29T15:26:35.115Z","89","85","96"
"125.161.141.186","elite","AS7713","ID","PT. TELKOM INDONESIA","175","N/A","80","socks5","2879","1","2022-09-29T15:26:31.312Z","100","18","18"
"75.119.203.42","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","15745","socks4","4850","1","2022-09-29T15:26:31.313Z","100","88","88"
"200.228.181.138","elite","AS4230","BR","Fockink Indústrias Elétricas Ltda","247","Fockink Participações Ltda","8080","socks4","4971","1","2022-09-29T15:26:31.313Z","100","84","84"
"202.142.181.162","elite","AS9260","PK","Multinet Broadband","165","Multinet Broadband","8080","socks4","5021","1","2022-09-29T15:26:23.802Z","94","100","106"
"92.249.219.47","elite","AS20845","HU","HDSNET","32","N/A","59587","socks4","5129","1","2022-09-29T15:26:20.258Z","100","91","91"
"94.139.170.82","elite","AS206065","IR","Farabord Dadeh Haye Iranian Co.","122","FDI LTE Static","33848","socks4","5001","1","2022-09-29T15:26:20.260Z","99","106","107"
"67.205.2.172","elite","AS26347","US","New Dream Network, LLC","83","New Dream Network, LLC","30862","socks4","4958","1","2022-09-29T15:26:20.260Z","99","106","107"
"190.109.72.242","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","201","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","5030","1","2022-09-29T15:26:16.583Z","95","86","91"
"66.33.210.29","elite","AS26347","US","New Dream Network, LLC","83","New Dream Network, LLC","17567","socks5","5070","1","2022-09-29T15:26:16.579Z","100","91","91"
"58.214.69.251","elite","AS4134","CN","Chinanet","250","Chinanet JS","28643","socks4","4885","1","2022-09-29T15:26:12.832Z","91","62","68"
"188.165.196.197","elite","AS16276","FR","OVH SAS","4","OVH ISP","56691","socks5","5012","1","2022-09-29T15:26:12.841Z","75","70","93"
"41.254.53.70","anonymous","AS21003","LY","LTT Network Backbone and POPs","74","Libyan Telecom and Technology","1981","http","411","7458","2022-09-29T15:26:12.830Z","100","13","13"
"36.95.235.19","elite","AS7713","ID","PT. Telekomunikasi Indonesia","168","Telekomunikasi Indonesia","3629","socks4","4739","1","2022-09-29T15:26:12.831Z","100","102","102"
"167.86.92.113","elite","AS51167","DE","Contabo GmbH","15","Contabo GmbH","53526","socks5","5067","1","2022-09-29T15:26:12.832Z","100","96","96"
"103.53.228.217","elite","AS131427","VN","AOHOAVIET","179","AO HOA Viet Co., ltd","7497","socks5","3985","1","2022-09-29T15:26:09.183Z","100","107","107"
"103.103.52.46","elite","AS135863","IN","Catla IT and Engg.Co.Pvt.Ltd","190","N/A","4153","socks4","4274","1","2022-09-29T15:26:05.226Z","95","92","97"
